"","Age","scenario","median","lower","upper","diff_med","diff_lwr","diff_upr","perc_med","perc_lwr","perc_upr","pop","rate","diff","percent"
"1","1-4yrs","scenarioA",212.173579519664,187.166599580106,238.865702378282,1.51918162420314,0.57618535288909,2.80163149953441,0.659619053769869,0.299016928880723,1.29901613748622,96328.3987128682,"220.3 (194.3-248)","1.6 (0.6-2.9)","0.7 (0.3-1.3)"
"2","1-4yrs","scenarioB",212.173600481693,187.166561196993,238.865544374346,1.5193892674087,0.576172265961564,2.80139980678878,0.659650323853704,0.299009914114948,1.29904239894187,96328.3987128682,"220.3 (194.3-248)","1.6 (0.6-2.9)","0.7 (0.3-1.3)"
"3","1-4yrs","scenarioC",212.917989413288,188.129644402987,239.843402172469,0.617527144824777,0.237035894263055,1.13318361892149,0.268057036262897,0.123028607637015,0.530715817416679,96328.3987128682,"221 (195.3-249)","0.6 (0.2-1.2)","0.3 (0.1-0.6)"
"4","1-4yrs","scenarioD",212.918015732438,188.129744518142,239.843455722572,0.617726375414264,0.23705444177477,1.13306459950701,0.268069033138822,0.123033265494487,0.530843207178978,96328.3987128682,"221 (195.3-249)","0.6 (0.2-1.2)","0.3 (0.1-0.6)"
"5","5-59yrs","scenarioA",151.80960499892,126.241554851608,176.735516301882,0.199545871772813,0.0985565900295093,0.324082132635123,0.125957738198057,0.0703360121217006,0.243575549973305,1703571.94033447,"8.9 (7.4-10.4)","0 (0-0)","0 (0-0)"
"6","5-59yrs","scenarioB",151.809605137519,126.241537717563,176.735505793056,0.199556775631166,0.0985666869578409,0.324082243384463,0.125957001427127,0.0703399255639269,0.243587973391227,1703571.94033447,"8.9 (7.4-10.4)","0 (0-0)","0 (0-0)"
"7","5-59yrs","scenarioC",151.883757568289,126.357300883601,176.840934831019,0.0979975149081866,0.0472437619775739,0.160242097396102,0.061613205418485,0.0337963741279362,0.120321281892927,1703571.94033447,"8.9 (7.4-10.4)","0 (0-0)","0 (0-0)"
"8","5-59yrs","scenarioD",151.883723678655,126.357303748701,176.840956680305,0.0980310900665984,0.0472479603922892,0.160225354135674,0.0616043694196345,0.0337939218873617,0.120343767785482,1703571.94033447,"8.9 (7.4-10.4)","0 (0-0)","0 (0-0)"
"9","6-11m","scenarioA",48.7193694453702,36.8354026489287,57.9857862574606,15.850203579878,10.1999237889322,22.4166027803899,25.4409632374538,18.3388654062606,30.0488563060066,11909.0102256718,"409.1 (309.3-486.9)","133.1 (85.6-188.2)","213.6 (154-252.3)"
"10","6-11m","scenarioB",48.7203836266286,36.8352318128382,57.9833168267269,15.850315584414,10.2005314436457,22.4171729128908,25.4419686544406,18.3378932454302,30.0482815891237,11909.0102256718,"409.1 (309.3-486.9)","133.1 (85.7-188.2)","213.6 (154-252.3)"
"11","6-11m","scenarioC",58.5880123637753,46.4799064779616,69.8854282927258,6.03809601993871,3.81767315513845,8.51728740966927,9.59887556859857,6.8650093784503,11.5520579093639,11909.0102256718,"492 (390.3-586.8)","50.7 (32.1-71.5)","80.6 (57.6-97)"
"12","6-11m","scenarioD",58.5860396903452,46.4792527179006,69.8869230405398,6.03759446340926,3.81738033556723,8.51713648234007,9.59876795681121,6.86571106814309,11.5543642818513,11909.0102256718,"491.9 (390.3-586.8)","50.7 (32.1-71.5)","80.6 (57.7-97)"
"13","60+yrs","scenarioA",328.789716442405,255.732036630411,401.84764363074,38.9977562174374,28.488728532627,51.8633959209694,10.8593463824875,8.97800477681101,11.8421449487331,446461.998340005,"73.6 (57.3-90)","8.7 (6.4-11.6)","2.4 (2-2.7)"
"14","60+yrs","scenarioB",353.472025577557,277.610092992951,435.472737177126,13.4048883670914,9.74325766047369,17.9268841220751,3.74770668930726,3.07424591444798,4.10245622682689,446461.998340005,"79.2 (62.2-97.5)","3 (2.2-4)","0.8 (0.7-0.9)"
"15","60+yrs","scenarioC",328.988360749226,256.072875092108,402.124154158665,38.8115734915075,28.3796648942809,51.5551705642968,10.8016980708868,8.94376792164991,11.7733083940681,446461.998340005,"73.7 (57.4-90.1)","8.7 (6.4-11.5)","2.4 (2-2.6)"
"16","60+yrs","scenarioD",353.674713267829,277.983806879656,435.765933013828,13.2045476843784,9.63546481887069,17.6005009433143,3.67880515389852,3.0375788575075,4.01192619333175,446461.998340005,"79.2 (62.3-97.6)","3 (2.2-3.9)","0.8 (0.7-0.9)"
"17","<6m","scenarioA",153.582925341436,115.466712141365,191.477548600209,54.4827378093909,35.2930750711248,73.5442338360274,26.9506664991075,19.2258477818892,29.6078586718739,11909.0098571951,"1289.6 (969.6-1607.8)","457.5 (296.4-617.6)","226.3 (161.4-248.6)"
"18","<6m","scenarioB",153.583625506715,115.466735930103,191.473501241379,54.4794824733282,35.2960165668106,73.5417952938121,26.9506928264713,19.2270111139212,29.6061911527318,11909.0098571951,"1289.6 (969.6-1607.8)","457.5 (296.4-617.5)","226.3 (161.4-248.6)"
"19","<6m","scenarioC",184.048545504988,140.20093744714,223.396087829042,24.5861568030407,15.6047324479314,34.2281055537015,12.389672416581,8.45955975180676,13.8541514229962,11909.0098571951,"1545.5 (1177.3-1875.9)","206.5 (131-287.4)","104 (71-116.3)"
"20","<6m","scenarioD",184.049891045638,140.192647651096,223.391179148098,24.5900431423925,15.6043632256311,34.2338063352822,12.3897174974801,8.45970275073105,13.8576025010672,11909.0098571951,"1545.5 (1177.2-1875.8)","206.5 (131-287.5)","104 (71-116.4)"
"21","All","scenarioA",901.017757464589,748.359402619218,1038.75718309631,111.220271212618,74.1875842536328,150.347977105981,11.1869714710482,8.38935966268779,13.0320245114307,2270180.35747021,"39.7 (33-45.8)","4.9 (3.3-6.6)","0.5 (0.4-0.6)"
"22","All","scenarioB",926.642087003751,771.229498240015,1070.3751109025,85.4428953151915,55.7970814424994,116.449868616776,8.62809897294204,6.3030406457596,10.0996683871833,2270180.35747021,"40.8 (34-47.1)","3.8 (2.5-5.1)","0.4 (0.3-0.4)"
"23","All","scenarioC",940.30518824707,786.499230313251,1088.55241150658,70.4779836334544,47.7376777320616,95.4361778222684,7.09785220575279,5.38081719684107,8.27281807701013,2270180.35747021,"41.4 (34.6-48)","3.1 (2.1-4.2)","0.3 (0.2-0.4)"
"24","All","scenarioD",966.615194298703,809.389184751733,1120.7642422997,44.8287630450011,29.1804180582906,61.5394664463,4.53662723152544,3.2998479219846,5.33701029449279,2270180.35747021,"42.6 (35.7-49.4)","2 (1.3-2.7)","0.2 (0.1-0.2)"
